"IDCLIENTE","NOME","CPF","IDADE","DATA_NASCIMENTO","SEXO","EMAIL","TELEFONE","PROFISSAO","FONTE_RENDA_ID","FAIXA_RENDA_ID","ENDERECO_ID"
1,"Carla Oliveira","23456789012",34,25/02/90,"F","carla.oliveira@example.com","(41) 97654-3210","Vendedora",1,1,1
2,"João da Silva","12345678901",37,15/01/85,"M","joao.silva@example.com","(41) 98765-4321","Pintor",2,1,2
3,"Paula Santos","34567890123",36,30/03/88,"F","paula.santos@example.com","(41) 96543-2109","Zeladora",1,1,3
4,"Ana Costa","45678901234",29,10/04/95,"F","ana.costa@example.com","(41) 95432-1098","Diarista",2,2,4
5,"Suelem Magalhães","56789012345",45,22/05/79,"F","su.maga@example.com","(41) 98765-6789","Auxiliar de serviços gerais",1,1,5
6,"Marcelo Fernandes","67890123456",41,13/06/81,"M","marcelo.fernandes@example.com","(41) 97654-3210","Eletricista",2,2,6
7,"Juliana Pereira","78901234567",41,08/07/83,"F","juliana.pereira@example.com","(41) 96543-2109","Vendedora",1,1,7
8,"André Lima","89012345678",47,30/08/77,"M","andre.lima@example.com","(41) 95432-1098","Motoboy",2,1,8
9,"Tatiane Rocha","90123456789",44,19/09/80,"F","tatiane.rocha@example.com","(41) 94321-0987","Professora Educação Infantil",1,1,9
31,"Carlos Silva","123.456.789-01",35,15/04/89,"M","carlos.silva@example.com","(11) 98765-4321","Contador",2,2,10
32,"João Pereira","234.567.890-12",45,10/08/79,"M","joao.pereira@example.com","(21) 97654-3210","Técnico de Suporte de T.I.",1,2,11
33,"Paulo Souza","345.678.901-23",50,25/05/74,"M","paulo.souza@example.com","(31) 96543-2109","Professor do Ensino Médio",1,2,12
34,"Lucas Alves","456.789.012-34",38,20/11/86,"M","lucas.alves@example.com","(41) 95432-1098","Técnico Administrativo SAMU",5,2,13
35,"Rafael Lima","567.890.123-45",42,28/02/82,"M","rafael.lima@example.com","(51) 94321-0987","Gerente de Mercado",1,2,14
36,"Fernando Costa","678.901.234-56",55,15/09/69,"M","fernando.costa@example.com","(61) 93210-9876","Professor de Ensino Médio",21,2,15
37,"Marcos Oliveira","789.012.345-67",60,05/12/64,"M","marcos.oliveira@example.com","(71) 92109-8765","Motorista de ônibus",21,2,16
38,"Ricardo Martins","890.123.456-78",48,18/07/76,"M","ricardo.martins@example.com","(81) 91098-7654","Técnico de Segurança do Trabalho",1,2,17
39,"Ana Fernandes","901.234.567-89",34,22/03/90,"F","ana.fernandes@example.com","(91) 90987-6543","Assistente Adminsitrativo",5,2,18
40,"Maria Santos","012.345.678-90",52,30/06/72,"F","maria.santos@example.com","(95) 89876-5432","Professora de Educação Básica",21,2,19
